Timestamp	Social Media Used	Join date	Satisfaction with site quality (1-10)		Specific complaints?
4/3/2024 10:51:18	4chan 	Post-2015	8		
4/3/2024 11:16:35	4chan 	Post-2015	7		
4/3/2024 11:27:29	4chan 	Post-2015	10		
4/3/2024 12:31:32	4chan 	Post-2015	8		
4/4/2024 0:15:04	4 chan 	Post-2015	8		
4/4/2024 13:35:00	instagram	Post-2015	6		
4/4/2024 13:35:22	Instagram, TikTok, and Snapchat.	Post-2015	10		
4/4/2024 13:37:34	All	Post-2015	10		
4/4/2024 15:23:31	instagram 	Post-2015	10		
4/4/2024 19:03:36	insta	Post-2015	7		
4/4/2024 20:16:12	Facebook	Post-2015	1		
4/8/2024 10:38:16	4chan 	Post-2015	3		
4/8/2024 11:06:06	tiktok	Post-2015 	6		
4/8/2024 11:06:49	tiktok	Post-2015	10		
4/8/2024 11:08:59	tiktok 	Post-2015	4		
4/8/2024 11:13:15	snapchat 	Post-2015	2		
4/8/2024 11:14:32	tiktok	Post-2015	4		
4/8/2024 11:17:20	instagram 	Post-2015	10		
4/8/2024 11:18:13	instagram 	Post-2015	6		
4/8/2024 11:21:38	letterboxd 	Post-2015	10		
4/8/2024 11:22:09	letterboxd 	Post-2015	9		
4/8/2024 11:22:43	letterboxd 	Post-2015	3		
4/8/2024 11:35:11	twitter 	Post-2015	8		
4/8/2024 11:42:41	twitter	Post-2015	4		
4/3/2024 11:19:04	all 	Post-2015	6		
4/3/2024 11:34:55	all 	Post-2015	7		
4/3/2024 12:49:18	4chan 	Post-2015	6		
4/3/2024 13:08:36	4chan	Post-2015	3		
4/3/2024 21:11:19	4chan 	Post-2015	3		
4/3/2024 23:30:48	4chan 	Post-2015	6		
4/4/2024 2:50:38	4chan 	Post-2015	3		
4/4/2024 3:17:26	4chan 	Post-2015	4		
4/4/2024 11:27:09	4chan	Post-2015	5		
4/4/2024 13:35:26	Instagram, Tiktok	Post-2015	8		
4/4/2024 13:35:55	instagram	Post-2015	10		
4/4/2024 13:35:56	Instagram	Post-2015	9		
4/4/2024 13:36:31	Tiktok	Post-2015	10		
4/4/2024 13:36:43	Instagram	Post-2015	8		
4/4/2024 13:36:58	Instagram	Post-2015	10		
4/4/2024 13:37:08	Tiktok 	Post-2015	10		
4/4/2024 13:38:06	Instagram, YouTube	Post-2015	5		
4/4/2024 13:38:16	Instagram	Post-2015	4		
4/4/2024 13:38:37	Twitter	Post-2015	6		
4/4/2024 13:40:28	Instagram	Post-2015	9		
4/4/2024 13:40:31	Instagram	Post-2015	5		
4/4/2024 13:40:32	Ticktock and Insta	Post-2015	8		
4/4/2024 22:15:32	Snapchat	Post-2015	7		
4/5/2024 12:12:55	instagram, youtube, discord, twitch 	Post-2015	3		
4/7/2024 17:37:15	TikTok 4chan 	Post-2015	9		
4/8/2024 10:25:27	instagram 	Post-2015	4		
4/8/2024 10:30:36	discord 	Post-2015	8		
4/8/2024 10:39:26	tiktok	Post-2015	9		
4/8/2024 10:40:35	discord 	Post-2015	2		
4/8/2024 11:26:43	instagram 	Post-2015	7		
4/8/2024 11:31:20	instagram 	Post-2015	6		
4/8/2024 11:31:42	tiktok	Post-2015	4		
4/8/2024 11:34:36	twitter 	Post-2015	2		
4/8/2024 11:35:28	twitter 	Post-2015	8		
4/8/2024 11:39:16	discord 	Post-2015	7		
4/8/2024 11:40:30	instagram 	Post-2015	10		
4/8/2024 11:41:34	twitter 	Post-2015	6		
4/8/2024 11:43:07	Discord.	Post-2015	7		
4/8/2024 11:43:30	twitter 	Post-2015	7		
4/3/2024 12:44:49	PW	Pre-2015	10		
4/3/2024 23:29:49	4chan 	Pre-2015	9		
4/4/2024 0:13:12	4chan 	Pre-2015	6		
4/4/2024 10:43:41	4chan	Pre-2015	8		
