YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2013,11,94213,9500,Craigslist
2011,13,103000,5200,Craigslist
2008,16,122000,3850,Craigslist
2019,5,68000,15000,Craigslist
2011,13,141000,45000,Craigslist
2010,14,99683,9499,Craigslist
2004,20,76000,4250,Craigslist
2007,17,38000,8888,Autotrader 
2010,14,64000,6940,CarGurus 
2009,15,105000,5998,Autotrader 
2011,13,74000,8988,Autotrader 
2019,5,60680,17895,CarGurus 
2011,13,98650,7392,CarGurus 
2015,9,52093,14500,CarGurus 
2009,15,105594,4695,CarGurus 
